#Processing Run 48291 for polarization tables
#The run table thinks this was a DPERPL2 run
#Corresponding AMO file is :/home/clasg8/rootbeer2.1/dat/pol/amo_tesc_48290.dat
#Coherent Edge positions for TESC events follow:
#Event	Coh Edge	PolPlane(PARA=0,PERP=1,AMO=2,CHANGING=3)
#WARNING: table and EPICS differ on the radiator
Using value from table#WARNING: table and EPICS differ on the Plane
Using	x	-1.0	0
3553535	3560174	1304.9	1
3560174	3572120	-1.0	1
3572120	3580871	-1.0	1
3580871	3589306	-1.0	1
3589306	3598169	-1.0	1
3598169	3609081	-1.0	1
3609081	3619666	-1.0	1
3619666	3628039	-1.0	1
3628039	3637300	-1.0	1
3637300	3651191	-1.0	1
3651191	3655844	-1.0	1
3655844	3671190	-1.0	1
3671190	3679417	-1.0	1
3679417	3684134	-1.0	1
3684134	3698207	-1.0	1
3698207	3706765	-1.0	1
3706765	3716990	-1.0	1
3716990	3727429	-1.0	1
3727429	3736928	-1.0	1
3736928	3743651	-1.0	1
3743651	3756477	-1.0	1
3756477	3765747	-1.0	1
3765747	3775894	-1.0	1
3775894	3782965	-1.0	1
3782965	3796167	-1.0	1
3796167	3801065	-1.0	1
3801065	3814227	-1.0	1
3814227	3823641	-1.0	1
3823641	3831427	1315.0	1
3831427	3843949	1317.3	1
3843949	3853539	1319.7	1
3853539	3862809	1271.4	1
3862809	3872370	1223.9	1
3872370	3880147	1282.2	1
3880147	3891003	1282.1	1
3891003	3901222	-1.0	1
3901222	3913444	-1.0	1
3913444	3923953	-1.0	1
3923953	3933437	-1.0	1
3933437	3942884	-1.0	1
3942884	3947632	-1.0	1
3947632	3961756	-1.0	1
3961756	3971073	-1.0	1
3971073	3981047	-1.0	1
3981047	3989971	-1.0	1
3989971	3999308	-1.0	1
3999308	4009912	-1.0	1
4009912	4018120	-1.0	1
4018120	4031181	-1.0	1
4031181	4037084	-1.0	1
4037084	4046525	-1.0	1
4046525	4060635	-1.0	1
4060635	4065767	-1.0	1
4065767	4077705	1232.1	1
4077705	4086896	1229.7	1
4086896	4097348	1291.5	1
4097348	4112356	-1.0	1
4112356	4116947	-1.0	1
4116947	4126276	-1.0	1
4126276	4135612	-1.0	1
4135612	4145781	-1.0	1
4145781	4158094	-1.0	1
4158094	4164004	-1.0	1
4164004	4173623	-1.0	1
4173623	4187256	-1.0	1
4187256	4192392	-1.0	1
4192392	4205900	-1.0	1
4205900	4215162	1255.4	1
4215162	4224530	-1.0	1
4224530	4233836	-1.0	1
4233836	4244227	-1.0	1
4244227	4254434	-1.0	1
4254434	4261959	-1.0	1
4261959	4271476	-1.0	1
4271476	4280949	-1.0	1
4280949	4292287	-1.0	1
4292287	4302877	-1.0	1
4302877	4312017	-1.0	1
4312017	4323152	-1.0	1
4323152	4330253	-1.0	1
4330253	4340352	-1.0	1
4340352	4351560	-1.0	1
4351560	4363944	-1.0	1
4363944	4371136	-1.0	1
4371136	4379614	-1.0	1
4379614	4390034	-1.0	1
4390034	4404681	-1.0	1
4404681	4412952	-1.0	1
4412952	4418555	-1.0	1
4418555	4431796	-1.0	1
4431796	4440013	-1.0	1
4440013	4450446	-1.0	1
4450446	4457450	-1.0	1
4457450	4467177	-1.0	1
4467177	4478276	-1.0	1
4478276	4487676	-1.0	1
4487676	4501768	-1.0	1
4501768	4510080	-1.0	1
4510080	4515870	-1.0	1
4515870	4525376	-1.0	1
4525376	4538266	-1.0	1
4538266	4548826	1340.1	1
4548826	4554035	1281.8	1
4554035	4567802	-1.0	1
4567802	4577359	-1.0	1
4577359	4581994	-1.0	1
4581994	4599586	-1.0	1
4599586	4605754	-1.0	1
4605754	4615162	-1.0	1
4615162	4625425	-1.0	1
4625425	4634073	-1.0	1
4634073	4644838	-1.0	1
4644838	4653474	-1.0	1
4653474	4667275	-1.0	1
4667275	4671942	-1.0	1
4671942	4681239	-1.0	1
4681239	4695468	-1.0	1
4695468	4705056	-1.0	1
4705056	4714362	-1.0	1
4714362	4721762	-1.0	1
4721762	4730725	-1.0	1
4730725	4742635	-1.0	1
4742635	4752133	-1.0	1
4752133	4761573	-1.0	1
4761573	4774061	-1.0	1
4774061	4780255	-1.0	1
4780255	4793478	-1.0	1
4793478	4804136	-1.0	1
4804136	4813628	-1.0	1
4813628	4820721	-1.0	1
4820721	4827866	-1.0	1
4827866	4842047	-1.0	1
4842047	4852127	-1.0	1
4852127	4860714	-1.0	1
4860714	4870116	-1.0	1
4870116	4878965	-1.0	1
4878965	4891829	-1.0	1
4891829	4898520	-1.0	1
4898520	4912538	-1.0	1
4912538	4917265	-1.0	1
4917265	4926635	1292.5	1
4926635	4940582	1308.4	1
4940582	4948469	1326.2	1
4948469	4956760	-1.0	1
4956760	4967069	-1.0	1
4967069	4976516	-1.0	1
4976516	4987890	-1.0	1
4987890	4994912	-1.0	1
4994912	5004776	-1.0	1
5004776	5012162	-1.0	1
5012162	5025626	1326.0	1
5025626	5038751	1349.6	1
5038751	5049008	-1.0	1
5049008	5056095	-1.0	1
5056095	5067925	-1.0	1
5067925	5075086	-1.0	1
5075086	5090253	-1.0	1
5090253	5096070	-1.0	1
5096070	5105520	-1.0	1
5105520	5114488	-1.0	1
5114488	5123865	-1.0	1
5123865	5136093	-1.0	1
5136093	5147368	-1.0	1
5147368	5152077	-1.0	1
5152077	5166247	-1.0	1
5166247	5174568	-1.0	1
5174568	5185072	-1.0	1
5185072	5193951	-1.0	1
5193951	5203853	-1.0	1
5203853	5213253	-1.0	1
5213253	5220410	-1.0	1
5220410	5231975	-1.0	1
5231975	5243298	-1.0	1
5243298	5250576	-1.0	1
5250576	5259650	-1.0	1
5259650	5269109	-1.0	1
5269109	5281958	-1.0	1
5281958	5287955	-1.0	1
5287955	5301802	-1.0	1
5301802	5309395	-1.0	1
5309395	5315953	-1.0	1
5315953	5330130	-1.0	1
5330130	5342297	-1.0	1
5342297	5349023	-1.0	1
5349023	5358643	-1.0	1
5358643	5368114	-1.0	1
5368114	5380326	-1.0	1
5380326	5387336	-1.0	1
5387336	5396446	-1.0	1
5396446	5405778	-1.0	1
5405778	5418210	-1.0	1
5418210	5433080	-1.0	1
5433080	5436912	-1.0	1
5436912	5447749	1355.3	1
5447749	5455795	-1.0	1
5455795	5465027	-1.0	1
5465027	5477217	-1.0	1
5477217	5489195	-1.0	1
5489195	5495081	-1.0	1
5495081	5504441	-1.0	1
5504441	5518312	-1.0	1
5518312	5527483	-1.0	1
5527483	5537291	-1.0	1
5537291	5546765	1241.5	1
5546765	5551467	1337.3	1
5551467	5563093	-1.0	1
5563093	5573047	-1.0	1
5573047	5583702	-1.0	1
5583702	5595955	-1.0	1
5595955	5602549	-1.0	1
5602549	5614796	-1.0	1
5614796	5624915	-1.0	1
5624915	5633508	-1.0	1
5633508	5644791	-1.0	1
5644791	5654072	-1.0	1
5654072	5661644	-1.0	1
5661644	5677832	-1.0	1
5677832	5682547	-1.0	1
5682547	5691865	-1.0	1
5691865	5701296	-1.0	1
5701296	5712980	-1.0	1
5712980	5722811	1244.7	1
5722811	5734090	1311.7	1
5734090	5740238	-1.0	1
5740238	5748121	-1.0	1
5748121	5762052	-1.0	1
5762052	5775722	-1.0	1
5775722	5780334	-1.0	1
5780334	5789555	1341.5	1
5789555	5798885	1285.8	1
5798885	5812992	1318.8	1
5812992	5822503	-1.0	1
5822503	5832062	-1.0	1
5832062	5841393	-1.0	1
5841393	5849800	-1.0	1
5849800	5864135	-1.0	1
5864135	5873186	-1.0	1
5873186	5877734	-1.0	1
5877734	5888820	-1.0	1
5888820	5895064	1309.2	1
5895064	5909695	1311.5	1
5909695	5917608	1313.8	1
5917608	5923781	1302.9	1
5923781	5933634	-1.0	1
5933634	5942714	-1.0	1
5942714	5960125	-1.0	1
5960125	5966481	-1.0	1
5966481	5974004	1287.5	1
5974004	5982711	1302.1	1
5982711	5992992	1301.7	1
5992992	6004588	-1.0	1
6004588	6014068	-1.0	1
6014068	6027124	-1.0	1
6027124	6035906	1300.1	1
6035906	6042690	1297.5	1
6042690	6056625	-1.0	1
6056625	6062028	-1.0	1
6062028	6076477	-1.0	1
6076477	6085901	1290.7	1
6085901	6095012	-1.0	1
6095012	6104260	-1.0	1
6104260	6113178	-1.0	1
6113178	6122304	-1.0	1
6122304	6131436	-1.0	1
6131436	6140599	-1.0	1
6140599	6151731	-1.0	1
6151731	6163532	-1.0	1
6163532	6167997	-1.0	1
6167997	6180917	-1.0	1
6180917	6189560	-1.0	1
6189560	6199806	-1.0	1
6199806	6208791	-1.0	1
6208791	6215706	-1.0	1
6215706	6227200	-1.0	1
6227200	6234623	-1.0	1
6234623	6245902	-1.0	1
6245902	6254658	-1.0	1
6254658	6263572	-1.0	1
6263572	6272651	-1.0	1
6272651	6285467	-1.0	1
6285467	6293789	-1.0	1
6293789	6300249	-1.0	1
6300249	6312017	-1.0	1
6312017	6323167	-1.0	1
6323167	6332057	-1.0	1
6332057	6341166	-1.0	1
6341166	6350243	-1.0	1
6350243	6357170	-1.0	1
6357170	6368703	-1.0	1
6368703	6377836	-1.0	1
6377836	6392670	-1.0	1
6392670	6400741	-1.0	1
6400741	6408963	-1.0	1
6408963	6419116	-1.0	1
6419116	6441097	-1.0	1
6441097	6445463	-1.0	1
6445463	6454825	-1.0	1
6454825	6465542	-1.0	1
6465542	6473020	-1.0	1
6473020	6485722	-1.0	1
6485722	6495252	-1.0	1
6495252	6504910	-1.0	1
6504910	6514455	-1.0	1
6514455	6524048	-1.0	1
6524048	6535248	-1.0	1
6535248	6542907	-1.0	1
6542907	6555999	-1.0	1
6555999	6561694	-1.0	1
6561694	6572029	-1.0	1
6572029	6584235	-1.0	1
6584235	6590401	-1.0	1
6590401	6601084	-1.0	1
6601084	6607649	-1.0	1
6607649	6620398	-1.0	1
6620398	6634006	-1.0	1
6634006	6638454	-1.0	1
6638454	6647508	-1.0	1
6647508	6660426	-1.0	1
6660426	6665546	-1.0	1
6665546	6679126	-1.0	1
6679126	6684958	-1.0	1
6684958	6693716	-1.0	1
6693716	6703321	-1.0	1
6703321	6710463	-1.0	1
6710463	6721283	-1.0	1
6721283	6731709	-1.0	1
6731709	6740906	-1.0	1
6740906	6754085	-1.0	1
6754085	6759727	-1.0	1
6759727	6769221	-1.0	1
6769221	6783293	-1.0	1
6783293	6792591	-1.0	1
6792591	6803849	-1.0	1
6803849	6811737	-1.0	1
6811737	6821356	-1.0	1
6821356	6845090	-1.0	1
6845090	6849717	-1.0	1
6849717	6860506	1336.9	1
6860506	6868118	-1.0	1
6868118	6877434	-1.0	1
6877434	6889932	-1.0	1
6889932	6896675	-1.0	1
6896675	6906139	-1.0	1
6906139	6914099	-1.0	1
6914099	6923616	-1.0	1
6923616	6936902	-1.0	1
6936902	6944516	-1.0	1
6944516	6955206	-1.0	1
6955206	6963254	-1.0	1
6963254	6973361	-1.0	1
6973361	6982594	-1.0	1
6982594	6994323	-1.0	1
6994323	7005006	-1.0	1
7005006	7009931	-1.0	1
7009931	7019026	-1.0	1
7019026	7034050	-1.0	1
7034050	7041399	-1.0	1
7041399	7051238	-1.0	1
7051238	7059631	-1.0	1
7059631	7065555	-1.0	1
7065555	7083297	-1.0	1
7083297	7087764	-1.0	1
7087764	7096789	-1.0	1
7096789	7107210	-1.0	1
7107210	7115248	-1.0	1
7115248	7126447	-1.0	1
7126447	7134618	-1.0	1
7134618	7143791	-1.0	1
7143791	7156572	-1.0	1
7156572	7161682	-1.0	1
7161682	7175493	-1.0	1
7175493	7183381	-1.0	1
7183381	7195627	-1.0	1
7195627	7203043	-1.0	1
7203043	7215336	-1.0	1
7215336	7226069	-1.0	1
7226069	7237058	1336.3	1
7237058	7242190	-1.0	1
7242190	7251751	-1.0	1
7251751	7261073	-1.0	1
7261073	7273664	-1.0	1
7273664	7281678	-1.0	1
7281678	7293451	-1.0	1
7293451	7298900	-1.0	1
7298900	7308052	-1.0	1
7308052	7321126	-1.0	1
7321126	7331543	-1.0	1
7331543	7339424	-1.0	1
7339424	7348702	-1.0	1
7348702	7356806	-1.0	1
7356806	7369345	-1.0	1
7369345	7376158	-1.0	1
7376158	7390015	1332.4	1
7390015	7394694	1309.5	1
7394694	7404721	-1.0	1
7404721	7417808	-1.0	1
7417808	7425892	-1.0	1
7425892	7435966	-1.0	1
7435966	7445115	-1.0	1
7445115	7451704	-1.0	1
7451704	7464238	-1.0	1
7464238	7472577	-1.0	1
7472577	7484839	-1.0	1
7484839	7490652	-1.0	1
7490652	7500136	-1.0	1
7500136	7513681	-1.0	1
7513681	7520154	-1.0	1
7520154	7527528	-1.0	1
7527528	7539052	-1.0	1
7539052	7550447	-1.0	1
7550447	7560532	-1.0	1
7560532	7568923	-1.0	1
7568923	7581442	-1.0	1
7581442	7585631	-1.0	1
7585631	7596805	-1.0	1
7596805	7605681	-1.0	1
7605681	7614788	-1.0	1
7614788	7624008	-1.0	1
7624008	7637937	-1.0	1
7637937	7642567	-1.0	1
7642567	7656414	-1.0	1
7656414	7662846	-1.0	1
7662846	7671962	-1.0	1
7671962	7682330	-1.0	1
7682330	7692926	-1.0	1
7692926	7705828	-1.0	1
7705828	7715211	-1.0	1
7715211	7720735	-1.0	1
7720735	7734660	-1.0	1
7734660	7750265	-1.0	1
7750265	7758670	-1.0	1
7758670	7766848	-1.0	1
7766848	7776073	-1.0	1
7776073	7789909	-1.0	1
7789909	7798985	-1.0	1
7798985	7807142	-1.0	1
7807142	7817777	-1.0	1
7817777	7826648	-1.0	1
7826648	7834430	-1.0	1
7834430	7847455	-1.0	1
7847455	7854202	-1.0	1
7854202	7863613	-1.0	1
7863613	7876064	-1.0	1
7876064	7882042	-1.0	1
7882042	7902707	-1.0	1
7902707	7914038	-1.0	1
7914038	7923659	-1.0	1
7923659	7933388	-1.0	1
7933388	7942139	-1.0	1
7942139	7952999	-1.0	1
7952999	7960945	1305.7	1
7960945	7970123	-1.0	1
7970123	7979137	-1.0	1
7979137	7990420	-1.0	1
7990420	8000044	-1.0	1
8000044	8006888	-1.0	1
8006888	8020644	-1.0	1
8020644	8025257	-1.0	1
8025257	8042272	-1.0	1
8042272	8046795	-1.0	1
8046795	8057379	-1.0	1
8057379	8069251	-1.0	1
8069251	8074780	-1.0	1
8074780	8085558	-1.0	1
8085558	8094221	-1.0	1
8094221	8106828	-1.0	1
8106828	8112719	-1.0	1
8112719	8124874	-1.0	1
8124874	8139266	-1.0	1
8139266	8145346	-1.0	1
8145346	8155101	-1.0	1
8155101	8161726	-1.0	1
8161726	8171066	-1.0	1
8171066	8182479	-1.0	1
8182479	8191765	-1.0	1
8191765	8200970	-1.0	1
8200970	8210277	-1.0	1
8210277	8219817	-1.0	1
8219817	8231139	-1.0	1
8231139	8237914	-1.0	1
8237914	8246908	-1.0	1
8246908	8260728	-1.0	1
8260728	8265398	-1.0	1
8265398	8279139	-1.0	1
8279139	8288087	-1.0	1
8288087	8297527	-1.0	1
8297527	8303974	-1.0	1
8303974	8325467	-1.0	1
8325467	8334215	-1.0	1
8334215	8347058	-1.0	1
8347058	8352733	-1.0	1
8352733	8361907	-1.0	1
8361907	8374713	-1.0	1
8374713	8380363	-1.0	1
8380363	8394206	-1.0	1
8394206	8398885	-1.0	1
8398885	8412698	-1.0	1
8412698	8421999	-1.0	1
8421999	8431393	-1.0	1
8431393	8443827	-1.0	1
8443827	8449768	-1.0	1
8449768	8457441	-1.0	1
8457441	8472786	-1.0	1
8472786	8477386	-1.0	1
8477386	8486628	-1.0	1
8486628	8495702	-1.0	1
8495702	8509372	-1.0	1
8509372	8518555	-1.0	1
8518555	8526345	-1.0	1
8526345	8537166	-1.0	1
8537166	8547397	-1.0	1
8547397	8552888	1351.9	1
8552888	8569265	1283.5	1
8569265	8573822	-1.0	1
8573822	8587579	-1.0	1
8587579	8592196	-1.0	1
8592196	8601432	-1.0	1
8601432	8611826	-1.0	1
8611826	8621457	1250.6	1
8621457	8630798	-1.0	1
8630798	8638359	-1.0	1
8638359	8653201	-1.0	1
8653201	8661981	-1.0	1
8661981	8671607	-1.0	1
8671607	8681183	1303.5	1
8681183	8690764	1296.2	1
8690764	8700014	-1.0	1
8700014	8713384	-1.0	1
8713384	8719280	-1.0	1
8719280	8732942	-1.0	1
