#Processing Run 48227 for polarization tables
#The run table thinks this was a DPARAL2 run
#Corresponding AMO file is :/home/clasg8/rootbeer2.1/dat/pol/amo_tesc_48217.dat
#Coherent Edge positions for TESC events follow:
#Event	Coh Edge	PolPlane(PARA=0,PERP=1,AMO=2,CHANGING=3)
#WARNING: table and EPICS differ on the radiator
Using value from table#WARNING: table and EPICS differ on the Plane
Using	x	-1.0	0
6337883	6354310	-1.0	0
6354310	6367022	-1.0	0
6367022	6384226	-1.0	0
6384226	6399012	-1.0	0
6399012	6410249	-1.0	0
6410249	6428277	-1.0	0
6428277	6445605	-1.0	0
6445605	6452836	-1.0	0
6452836	6474320	-1.0	0
6474320	6488353	-1.0	0
6488353	6502638	-1.0	0
6502638	6515344	-1.0	0
6515344	6529109	-1.0	0
6529109	6543630	-1.0	0
6543630	6558435	-1.0	0
6558435	6580453	-1.0	0
6580453	6589358	-1.0	0
6589358	6603132	-1.0	0
6603132	6623161	-1.0	0
6623161	6631006	-1.0	0
6631006	6651591	-1.0	0
6651591	6664256	-1.0	0
6664256	6678736	-1.0	0
6678736	6692413	-1.0	0
6692413	6706537	-1.0	0
6706537	7465988	-1.0	0
7465988	7477188	1335.6	0
7477188	7500695	1334.0	0
7500695	7524256	1337.2	0
7524256	7537614	1304.1	0
7537614	7542764	1309.5	0
7542764	7553435	1313.6	0
7553435	7563496	1307.9	0
7563496	7581386	1307.9	0
7581386	7598589	1321.2	0
7598589	7613405	1317.6	0
7613405	7621731	1322.4	0
7621731	7636529	1322.0	0
7636529	7667671	1324.8	0
7667671	7675546	1321.0	0
7675546	7690851	1322.0	0
7690851	7706236	1324.4	0
7706236	7729340	1302.5	0
7729340	7751570	1291.7	0
7751570	7765144	1291.9	0
7765144	7773072	1287.8	0
7773072	7795229	1293.5	0
7795229	7802893	1294.5	0
7802893	7823376	1295.1	0
7823376	7838883	1294.3	0
7838883	7862593	1294.3	0
7862593	7875260	1291.7	0
7875260	7892583	1293.7	0
7892583	7909221	1291.1	0
7909221	7922927	1291.3	0
7922927	7938090	1288.2	0
7938090	7958285	1291.9	0
7958285	7967365	1292.1	0
7967365	7985499	1293.9	0
7985499	8004957	1291.5	0
8004957	8013616	1287.2	0
8013616	8035017	1281.6	0
8035017	8043095	1282.0	0
8043095	8075355	1278.8	0
8075355	8082155	1286.4	0
8082155	8097996	1288.0	0
8097996	8113223	1285.0	0
8113223	8126658	1285.4	0
8126658	8157425	1287.6	0
8157425	8161446	1288.4	0
8161446	8177004	1285.8	0
8177004	8197216	1287.8	0
8197216	8208662	1287.2	0
8208662	8238124	1286.4	0
8238124	8247864	1286.6	0
8247864	8263545	1287.6	0
8263545	8279502	1287.0	0
8279502	8295368	1288.0	0
8295368	8316466	1289.9	0
8316466	8329361	1286.4	0
8329361	8344803	1287.2	0
8344803	8361636	1287.0	0
8361636	8382406	1287.2	0
8382406	8398011	1285.0	0
8398011	8418458	1285.4	0
8418458	8429437	1286.6	0
8429437	8445064	1288.2	0
8445064	8458906	1283.0	0
8458906	8480967	1285.6	0
8480967	8495604	1287.0	0
8495604	8508713	1284.6	0
8508713	8532265	1283.4	0
8532265	8540575	1282.8	0
8540575	8563534	1281.6	0
8563534	8586469	1285.2	0
8586469	8591576	1287.6	0
8591576	8613272	1287.8	0
8613272	8623497	1290.5	0
8623497	8643347	1286.6	0
8643347	8658368	1286.0	0
8658368	8681793	1285.4	0
8681793	8698644	1278.6	0
8698644	8713335	1280.0	0
8713335	8731374	1281.4	0
8731374	8741010	1286.0	0
8741010	8762119	1283.8	0
8762119	8771082	1286.4	0
8771082	8786836	1287.2	0
8786836	8807907	1288.4	0
8807907	8823710	1294.7	0
8823710	8847325	1290.3	0
8847325	8855194	1291.7	0
8855194	8878211	1292.1	0
8878211	8901489	1288.0	0
8901489	8908384	1287.8	0
8908384	8924563	1285.0	0
8924563	8939531	1284.0	0
8939531	8961101	1284.2	0
8961101	8977153	1285.2	0
8977153	8992470	1279.0	0
8992470	9005838	1280.2	0
9005838	9021705	1279.2	0
9021705	9045310	1282.4	0
9045310	9068120	1284.4	0
9068120	9080489	1283.0	0
9080489	9094569	1284.0	0
9094569	9105956	1282.6	0
9105956	9121677	1284.2	0
9121677	9140595	1279.0	0
9140595	9156084	1279.2	0
9156084	9171876	1277.0	0
9171876	9187941	1278.4	0
9187941	9211621	1284.6	0
9211621	9231249	1283.2	0
9231249	9239320	1277.8	0
9239320	9262335	1274.0	0
9262335	9275555	1273.4	0
9275555	9284128	1278.8	0
9284128	9305848	1282.8	0
9305848	9321141	1282.4	0
9321141	9336674	1279.6	0
9336674	9352751	1280.0	0
9352751	9367533	1282.0	0
9367533	9387772	1278.0	0
9387772	9403246	1283.4	0
9403246	9428216	1277.6	0
9428216	9440645	1281.8	0
9440645	9449845	1278.8	0
9449845	9472218	1277.6	0
9472218	9495655	1278.6	0
9495655	9503638	1276.6	0
9503638	9527642	1274.6	0
9527642	9533687	1275.8	0
9533687	9567879	1277.4	0
9567879	9580463	-1.0	0
9580463	9591170	-1.0	0
9591170	9599298	-1.0	0
9599298	9612412	-1.0	0
9612412	9640970	1223.7	0
9640970	9659661	1242.5	0
9659661	9671051	1252.0	0
9671051	9694123	1273.2	0
9694123	9702155	1288.6	0
9702155	9719515	1291.5	0
9719515	9733796	1289.8	0
9733796	9749319	1301.9	0
9749319	9764762	1296.5	0
9764762	9782848	1297.5	0
9782848	9803168	1294.9	0
9803168	9819593	1283.2	0
9819593	9834730	1296.1	0
9834730	9845153	1286.4	0
9845153	9858852	1275.0	0
9858852	9884946	1276.6	0
9884946	9906424	1274.8	0
9906424	9920976	1268.6	0
9920976	9930395	1274.0	0
9930395	9948420	1277.4	0
9948420	9967013	1276.4	0
9967013	9982986	1277.0	0
9982986	10002506	1275.0	0
10002506	10015952	1277.4	0
10015952	10026942	1275.2	0
10026942	10052362	1274.6	0
10052362	10068075	1278.0	0
10068075	10084374	1276.8	0
10084374	10099540	1277.4	0
10099540	10114946	1276.2	0
10114946	10133853	1275.8	0
10133853	10149052	1275.4	0
10149052	10165886	1276.2	0
10165886	10181535	1278.2	0
10181535	10198753	1282.4	0
10198753	10222169	1284.0	0
10222169	10229941	1288.2	0
10229941	10244800	1292.7	0
10244800	10260436	1293.1	0
10260436	10276487	1286.0	0
10276487	10300682	1285.4	0
10300682	10312695	1281.2	0
10312695	10328737	1279.4	0
10328737	10344805	1285.2	0
10344805	10360110	1284.6	0
10360110	10384408	1285.0	0
10384408	10405510	1288.6	0
10405510	10415772	1291.3	0
10415772	10436408	1289.5	0
10436408	10452740	1294.1	0
10452740	10469585	1295.5	0
10469585	10482652	1303.1	0
10482652	10497403	1303.7	0
10497403	10513711	1306.3	0
10513711	10528811	1305.1	0
10528811	10552331	1300.9	0
10552331	10570560	1293.9	0
10570560	10579163	1294.9	0
10579163	10602613	1293.1	0
10602613	10616621	1288.6	0
10616621	10640040	1291.7	0
10640040	10651083	1285.0	0
10651083	10665436	1288.0	0
10665436	10681848	1293.1	0
10681848	10697036	1291.1	0
10697036	10717302	1292.5	0
10717302	10732912	1294.9	0
10732912	10748543	1293.3	0
10748543	10764223	1292.3	0
10764223	10785083	1293.5	0
10785083	10811121	1292.1	0
10811121	10815118	1293.5	0
10815118	10835433	1290.9	0
10835433	10847690	1292.5	0
10847690	10863258	1288.4	0
10863258	10881526	1285.2	0
10881526	10904154	1278.2	0
10904154	10912753	1282.2	0
10912753	10928405	1282.4	0
10928405	10952235	1279.4	0
10952235	10971493	1279.0	0
10971493	10985937	1284.2	0
10985937	11000354	1286.0	0
11000354	11017141	1283.6	0
11017141	11032608	1291.3	0
11032608	11052454	1287.8	0
11052454	11068102	1291.9	0
11068102	11084234	1290.3	0
11084234	11107032	1287.2	0
11107032	11121194	1286.0	0
11121194	11137929	1288.0	0
11137929	11148683	1286.0	0
11148683	11164703	1286.6	0
11164703	11179496	1287.0	0
11179496	11194136	1286.6	0
11194136	11215030	1285.2	0
11215030	11225910	1290.3	0
11225910	11242185	1286.8	0
11242185	11256049	1286.2	0
11256049	11270873	1284.4	0
11270873	11294021	1283.4	0
11294021	11307464	1282.4	0
11307464	11323510	1279.8	0
11323510	11340093	1279.6	0
11340093	11354891	1278.4	0
11354891	11378909	1281.6	0
11378909	11391085	1282.0	0
11391085	11408000	1278.6	0
11408000	11422385	1279.0	0
11422385	11444956	1282.4	0
11444956	11463443	1285.2	0
11463443	11485051	1284.2	0
11485051	11501453	1288.0	0
11501453	11510838	1285.4	0
11510838	11534156	1290.9	0
11534156	11552156	1288.8	0
11552156	11565320	1287.2	0
11565320	11588753	1290.3	0
11588753	11603044	1285.0	0
11603044	11614796	1283.2	0
11614796	11635613	1283.4	0
11635613	11655571	1292.5	0
11655571	11666739	1287.4	0
11666739	11679739	1278.4	0
11679739	11697331	1278.4	0
11697331	11732675	1279.2	0
11732675	11753696	1283.4	0
11753696	11771649	1276.2	0
11771649	11782258	1275.0	0
11782258	11800528	1272.2	0
11800528	11823531	1275.2	0
11823531	11833318	1274.6	0
11833318	11849484	1275.2	0
11849484	11865308	1276.4	0
11865308	11889082	1271.4	0
11889082	11908544	1272.4	0
11908544	11917110	1271.2	0
11917110	11932742	1275.4	0
11932742	11956409	1272.8	0
11956409	11972469	1271.8	0
11972469	11986638	1273.0	0
11986638	12009647	1273.0	0
12009647	12024030	1274.4	0
12024030	12034027	1272.4	0
12034027	12053676	1273.2	0
12053676	12068923	1272.8	0
12068923	12084765	1271.0	0
12084765	12101801	1272.4	0
12101801	12117096	1271.2	0
12117096	12139327	1276.0	0
12139327	12153364	1273.6	0
12153364	12169382	1274.6	0
12169382	12190329	1272.0	0
12190329	12199692	1274.2	0
12199692	12220500	1273.8	0
12220500	12241543	1267.0	0
12241543	12248745	1273.6	0
12248745	12270905	1272.4	0
12270905	12311360	1272.4	0
12311360	12320686	1278.6	0
12320686	12337689	1281.8	0
12337689	12353028	1285.0	0
12353028	12372653	1287.2	0
12372653	12395610	1287.8	0
12395610	12411214	1288.2	0
12411214	12419023	1286.6	0
12419023	12434752	1282.8	0
12434752	12458225	1274.6	0
12458225	12474795	1269.0	0
12474795	12486698	1274.8	0
12486698	12504358	1274.8	0
12504358	12517097	1277.8	0
12517097	12541342	1278.4	0
12541342	12560595	1276.6	0
12560595	12575013	1276.8	0
12575013	12590248	1276.6	0
12590248	12606272	1276.4	0
12606272	12622325	1273.8	0
12622325	12646359	1270.8	0
12646359	12655617	1271.8	0
12655617	12671733	1278.8	0
12671733	12685007	1278.2	0
12685007	12702872	1278.0	0
12702872	12728285	1267.0	0
12728285	12749944	1272.8	0
12749944	12764057	1275.0	0
12764057	12779709	1272.8	0
12779709	12791516	1266.6	0
12791516	12810275	1263.8	0
12810275	12825125	1266.0	0
12825125	12846870	1271.6	0
12846870	12858305	1271.0	0
12858305	12873138	1271.6	0
