#Processing Run 48236 for polarization tables
#The run table thinks this was a DPARAL2 run
#Corresponding AMO file is :/home/clasg8/rootbeer2.1/dat/pol/amo_tesc_48217.dat
#Coherent Edge positions for TESC events follow:
#Event	Coh Edge	PolPlane(PARA=0,PERP=1,AMO=2,CHANGING=3)
#WARNING: table and EPICS differ on the radiator
Using value from table#WARNING: table and EPICS differ on the Plane
Using	x	 0.0	0
1124315	1144261	1317.6	0
1144261	1159429	1312.8	0
1159429	1176675	1311.2	0
1176675	1189522	1312.6	0
1189522	1210205	1312.8	0
1210205	1224556	1312.8	0
1224556	1239880	1311.8	0
1239880	1255335	1311.2	0
1255335	1269390	1313.4	0
1269390	1288204	1312.6	0
1288204	1301536	1312.0	0
1301536	1316868	1311.6	0
1316868	1339206	1311.2	0
1339206	1346343	1313.2	0
1346343	1365093	1314.8	0
1365093	1380440	1311.6	0
1380440	1392849	1313.0	0
1392849	1424287	1314.6	0
1424287	1428686	1313.8	0
1428686	1445990	1313.0	0
1445990	1460173	1312.2	0
1460173	1476805	1311.6	0
1476805	1494251	1313.2	0
1494251	1505585	1311.2	0
1505585	1519994	1312.0	0
1519994	1535443	1314.2	0
1535443	1555181	1316.2	0
1555181	1578668	1314.4	0
1578668	1590279	1312.6	0
1590279	1602037	1313.2	0
1602037	1617692	1313.0	0
1617692	1633471	1312.0	0
1633471	1663579	1312.8	0
1663579	1671030	1313.4	0
1671030	1686997	1323.0	0
1686997	1707304	1306.9	0
1707304	1719483	1308.7	0
1719483	1744266	1313.4	0
1744266	1757547	1315.2	0
1757547	1766538	1312.8	0
1766538	1779811	1314.0	0
1779811	1795603	1311.6	0
1795603	1815586	1311.8	0
1815586	1830696	1313.4	0
1830696	1848610	1307.1	0
1848610	1860248	1308.1	0
1860248	1877265	1311.4	0
1877265	1896082	1313.4	0
1896082	1916463	1313.0	0
1916463	1924944	1312.6	0
1924944	1940252	1315.4	0
1940252	1960855	1313.4	0
1960855	1977754	1313.2	0
1977754	1995085	1307.1	0
1995085	2003865	1312.8	0
2003865	2023689	1313.0	0
2023689	2033322	1316.2	0
2033322	2054322	1315.6	0
2054322	2069925	1312.2	0
2069925	2083135	1307.5	0
2083135	2093914	1309.1	0
2093914	2115109	1312.4	0
2115109	2133527	1312.2	0
2133527	2153524	1313.0	0
2153524	2162641	1312.0	0
2162641	2178210	1315.8	0
2178210	2201038	1312.8	0
2201038	2216597	1312.6	0
2216597	2234833	1315.8	0
2234833	3008432	1313.8	0
3008432	3027507	1315.8	0
3027507	3042141	1315.4	0
3042141	3054319	1311.4	0
3054319	3073929	1310.8	0
3073929	3088018	1312.6	0
3088018	3106113	1308.7	0
3106113	3121918	1306.5	0
3121918	3132662	1315.0	0
3132662	3150848	1318.4	0
3150848	3166328	1305.7	0
3166328	3187180	1307.7	0
3187180	3197686	1310.6	0
3197686	3212684	1313.2	0
3212684	3226040	1316.8	0
3226040	3248018	1311.6	0
3248018	3261109	1313.0	0
3261109	3276631	1316.2	0
3276631	3290918	1316.6	0
3290918	3305469	1312.8	0
3305469	3331482	1310.8	0
3331482	3337091	1312.2	0
3337091	3351361	1311.0	0
3351361	3367725	1312.6	0
3367725	3382757	1313.2	0
3382757	3405598	1314.2	0
3405598	3416262	1313.2	0
3416262	3434800	1312.4	0
3434800	3447129	1312.4	0
3447129	3465479	1308.1	0
3465479	3485495	1307.3	0
3485495	3501307	1309.9	0
3501307	3516185	1310.5	0
3516185	3529682	1313.6	0
3529682	3546328	1312.0	0
3546328	3565267	1312.2	0
3565267	3579369	1310.4	0
3579369	3593609	1311.8	0
3593609	3614535	1312.0	0
3614535	3623914	1310.7	0
3623914	3647388	1311.8	0
3647388	3662193	1310.6	0
3662193	3676850	1311.2	0
3676850	3692780	1312.6	0
3692780	3706073	1312.0	0
3706073	3723661	1312.6	0
3723661	3743644	1313.4	0
