#Processing Run 48114 for polarization tables
#The run table thinks this was a DSWAPL2 run
#Corresponding AMO file is :/home/clasg8/rootbeer2.1/dat/pol/amo_tesc_48112.dat
#Coherent Edge positions for TESC events follow:
#Event	Coh Edge	PolPlane(PARA=0,PERP=1,AMO=2,CHANGING=3)
#WARNING: table and EPICS differ on the radiator
Using	x	 0.0	0
3056462	3064326	1867.8	1
3064326	3082237	1867.6	1
3082237	3090789	1873.0	1
3090789	3097557	1878.4	1
3097557	3108318	1877.8	1
3108318	3118719	1877.1	1
3118719	3131917	1876.4	1
3131917	3140187	-1.0	1
3140187	3151407	-1.0	1
3151407	3164581	-1.0	1
3164581	3170009	1883.9	1
3170009	3191288	1869.0	1
3191288	3197395	1867.9	1
3197395	3210498	1866.8	1
3210498	3221224	1868.0	1
3221224	3234807	1873.4	1
3234807	3249486	1875.4	1
3249486	3257502	1871.0	1
3257502	3270283	1873.6	1
3270283	3280857	1876.2	1
3280857	3291211	1878.0	1
3291211	3301590	1865.0	1
3301590	3312685	1880.4	1
3312685	3324858	1877.4	1
3324858	3335454	1874.4	1
3335454	3344568	-1.0	1
3344568	3355159	-1.0	1
3355159	3364716	-1.0	1
3364716	3392404	-1.0	1
3392404	3401412	-1.0	1
3401412	3414378	-1.0	1
3414378	3423674	-1.0	1
3423674	3435526	1868.8	1
3435526	3440583	-1.0	1
3440583	3453853	-1.0	1
3453853	3467552	-1.0	1
3467552	3476038	-1.0	1
3476038	3486815	1875.0	1
3486815	3498490	1874.8	1
3498490	3509053	1874.6	1
3509053	3519398	-1.0	1
3519398	3530531	-1.0	1
3530531	3538098	-1.0	1
3538098	3548332	-1.0	1
3548332	3564424	-1.0	1
3564424	3578216	-1.0	1
3578216	3586525	1869.0	1
3586525	3597126	1870.0	1
3597126	3608271	-1.0	1
3608271	3622442	-1.0	1
3622442	3633308	-1.0	1
3633308	3643174	-1.0	1
3643174	3654736	-1.0	1
3654736	3662332	-1.0	1
3662332	3673467	-1.0	1
